Tournament,Date,Series,Surface,Round,Player_1,Player_2,Winner,Rank_1,Rank_2,Winner_rank,Loser_rank
Brisbane International,2016-01-04,ATP250,Hard,1st Round,Dimitrov G.,Simon G.,Dimitrov G.,28,15,28,15
Brisbane International,2016-01-05,ATP250,Hard,1st Round,Goffin D.,Bellucci T.,Goffin D.,16,37,16,37
Brisbane International,2016-01-05,ATP250,Hard,1st Round,Johnson S.,Troicki V.,Troicki V.,32,22,22,32
Brisbane International,2016-01-07,ATP250,Hard,2nd Round,Dimitrov G.,Troicki V.,Dimitrov G.,28,22,28,22
Brisbane International,2016-01-08,ATP250,Hard,Quarterfinals,Nishikori K.,Tomic B.,Tomic B.,8,18,18,8
Brisbane International,2016-01-08,ATP250,Hard,Quarterfinals,Thiem D.,Cilic M.,Thiem D.,20,13,20,13
Brisbane International,2016-01-08,ATP250,Hard,Quarterfinals,Dimitrov G.,Federer R.,Federer R.,28,3,3,28
Brisbane International,2016-01-09,ATP250,Hard,Semifinals,Raonic M.,Tomic B.,Raonic M.,14,18,14,18
Brisbane International,2016-01-09,ATP250,Hard,Semifinals,Thiem D.,Federer R.,Federer R.,20,3,3,20
Brisbane International,2016-01-10,ATP250,Hard,The Final,Raonic M.,Federer R.,Raonic M.,14,3,14,3
Chennai Open,2016-01-05,ATP250,Hard,1st Round,Bedene A.,Pospisil V.,Bedene A.,45,39,45,39
Chennai Open,2016-01-08,ATP250,Hard,Quarterfinals,Wawrinka S.,Garcia-Lopez G.,Wawrinka S.,4,27,4,27
Chennai Open,2016-01-08,ATP250,Hard,Quarterfinals,Coric B.,Bautista R.,Coric B.,44,25,44,25
Chennai Open,2016-01-09,ATP250,Hard,Semifinals,Paire B.,Wawrinka S.,Wawrinka S.,19,4,4,19
Chennai Open,2016-01-09,ATP250,Hard,Semifinals,Coric B.,Bedene A.,Coric B.,44,45,44,45
Chennai Open,2016-01-10,ATP250,Hard,The Final,Coric B.,Wawrinka S.,Wawrinka S.,44,4,4,44
Qatar Exxon Mobil Open,2016-01-06,ATP250,Hard,2nd Round,Verdasco F.,Djokovic N.,Djokovic N.,49,1,1,49
Qatar Exxon Mobil Open,2016-01-07,ATP250,Hard,Quarterfinals,Djokovic N.,Mayer L.,Djokovic N.,1,35,1,35
Qatar Exxon Mobil Open,2016-01-08,ATP250,Hard,Semifinals,Berdych T.,Djokovic N.,Djokovic N.,6,1,1,6
Qatar Exxon Mobil Open,2016-01-09,ATP250,Hard,The Final,Djokovic N.,Nadal R.,Djokovic N.,1,5,1,5
ASB Classic,2016-01-11,ATP250,Hard,1st Round,Pospisil V.,Karlovic I.,Pospisil V.,39,23,39,23
ASB Classic,2016-01-12,ATP250,Hard,1st Round,Bautista R.,Vesely J.,Bautista R.,25,42,25,42
ASB Classic,2016-01-12,ATP250,Hard,1st Round,Sousa J.,Fognini F.,Fognini F.,33,21,21,33
ASB Classic,2016-01-13,ATP250,Hard,2nd Round,Young D.,Bautista R.,Bautista R.,46,25,25,46
ASB Classic,2016-01-13,ATP250,Hard,2nd Round,Sock J.,Pospisil V.,Sock J.,26,39,26,39
ASB Classic,2016-01-13,ATP250,Hard,2nd Round,Kohlschreiber P.,Tsonga J.W.,Tsonga J.W.,34,10,10,34
ASB Classic,2016-01-13,ATP250,Hard,Quarterfinals,Sock J.,Anderson K.,Sock J.,26,12,26,12
ASB Classic,2016-01-14,ATP250,Hard,Quarterfinals,Bautista R.,Isner J.,Bautista R.,25,11,25,11
ASB Classic,2016-01-14,ATP250,Hard,Quarterfinals,Fognini F.,Tsonga J.W.,Tsonga J.W.,21,10,10,21
ASB Classic,2016-01-15,ATP250,Hard,Semifinals,Sock J.,Ferrer D.,Sock J.,26,8,26,8
ASB Classic,2016-01-15,ATP250,Hard,Semifinals,Tsonga J.W.,Bautista R.,Bautista R.,10,25,25,10
Apia International,2016-01-12,ATP250,Hard,1st Round,Gabashvili T.,Mayer L.,Gabashvili T.,50,35,50,35
Apia International,2016-01-12,ATP250,Hard,1st Round,Dolgopolov O.,Bellucci T.,Dolgopolov O.,36,37,36,37
Apia International,2016-01-12,ATP250,Hard,1st Round,Muller G.,Coric B.,Muller G.,38,40,38,40
Apia International,2016-01-13,ATP250,Hard,2nd Round,Cuevas P.,Dimitrov G.,Dimitrov G.,41,28,28,41
Apia International,2016-01-13,ATP250,Hard,2nd Round,Troicki V.,Robredo T.,Troicki V.,22,43,22,43
Apia International,2016-01-15,ATP250,Hard,Quarterfinals,Muller G.,Chardy J.,Muller G.,38,31,38,31
Apia International,2016-01-15,ATP250,Hard,Quarterfinals,Dimitrov G.,Dolgopolov O.,Dimitrov G.,28,36,28,36
Apia International,2016-01-15,ATP250,Hard,Semifinals,Muller G.,Dimitrov G.,Dimitrov G.,38,28,28,38
Apia International,2016-01-15,ATP250,Hard,Semifinals,Troicki V.,Gabashvili T.,Troicki V.,22,50,22,50
Apia International,2016-01-16,ATP250,Hard,The Final,Dimitrov G.,Troicki V.,Troicki V.,28,22,22,28
Australian Open,2016-01-18,Grand Slam,Hard,1st Round,Nishikori K.,Kohlschreiber P.,Nishikori K.,7,34,7,34
Australian Open,2016-01-18,Grand Slam,Hard,1st Round,Thiem D.,Mayer L.,Thiem D.,20,36,20,36
Australian Open,2016-01-18,Grand Slam,Hard,1st Round,Pospisil V.,Simon G.,Simon G.,39,15,15,39
Australian Open,2016-01-18,Grand Slam,Hard,1st Round,Gabashvili T.,Seppi A.,Seppi A.,44,29,29,44
Australian Open,2016-01-18,Grand Slam,Hard,1st Round,Klizan M.,Bautista R.,Bautista R.,43,21,21,43
Australian Open,2016-01-18,Grand Slam,Hard,1st Round,Tsonga J.W.,Baghdatis M.,Tsonga J.W.,10,46,10,46
Australian Open,2016-01-19,Grand Slam,Hard,1st Round,Muller G.,Fognini F.,Muller G.,38,23,38,23
Australian Open,2016-01-19,Grand Slam,Hard,1st Round,Verdasco F.,Nadal R.,Verdasco F.,45,5,45,5
Australian Open,2016-01-19,Grand Slam,Hard,1st Round,Bedene A.,Johnson S.,Johnson S.,49,32,32,49
Australian Open,2016-01-20,Grand Slam,Hard,2nd Round,Federer R.,Dolgopolov O.,Federer R.,3,35,3,35
Australian Open,2016-01-20,Grand Slam,Hard,2nd Round,Kyrgios N.,Cuevas P.,Kyrgios N.,30,41,30,41
Australian Open,2016-01-21,Grand Slam,Hard,2nd Round,Robredo T.,Raonic M.,Raonic M.,42,14,14,42
Australian Open,2016-01-21,Grand Slam,Hard,2nd Round,Johnson S.,Bellucci T.,Johnson S.,32,37,32,37
Australian Open,2016-01-22,Grand Slam,Hard,3rd Round,Thiem D.,Goffin D.,Goffin D.,20,16,16,20
Australian Open,2016-01-22,Grand Slam,Hard,3rd Round,Nishikori K.,Garcia-Lopez G.,Nishikori K.,7,27,7,27
Australian Open,2016-01-22,Grand Slam,Hard,3rd Round,Federer R.,Dimitrov G.,Federer R.,3,28,3,28
Australian Open,2016-01-22,Grand Slam,Hard,3rd Round,Djokovic N.,Seppi A.,Djokovic N.,1,29,1,29
Australian Open,2016-01-22,Grand Slam,Hard,3rd Round,Cilic M.,Bautista R.,Bautista R.,13,21,21,13
Australian Open,2016-01-22,Grand Slam,Hard,3rd Round,Berdych T.,Kyrgios N.,Berdych T.,6,30,6,30
Australian Open,2016-01-23,Grand Slam,Hard,3rd Round,Lopez F.,Isner J.,Isner J.,19,11,11,19
Australian Open,2016-01-23,Grand Slam,Hard,3rd Round,Raonic M.,Troicki V.,Raonic M.,14,26,14,26
Australian Open,2016-01-23,Grand Slam,Hard,3rd Round,Ferrer D.,Johnson S.,Ferrer D.,8,32,8,32
Australian Open,2016-01-23,Grand Slam,Hard,3rd Round,Sousa J.,Murray A.,Murray A.,33,2,2,33
Australian Open,2016-01-24,Grand Slam,Hard,4th Round,Tsonga J.W.,Nishikori K.,Nishikori K.,10,7,7,10
Australian Open,2016-01-24,Grand Slam,Hard,4th Round,Djokovic N.,Simon G.,Djokovic N.,1,15,1,15
Australian Open,2016-01-24,Grand Slam,Hard,4th Round,Bautista R.,Berdych T.,Berdych T.,21,6,6,21
Australian Open,2016-01-24,Grand Slam,Hard,4th Round,Federer R.,Goffin D.,Federer R.,3,16,3,16
Australian Open,2016-01-25,Grand Slam,Hard,4th Round,Raonic M.,Wawrinka S.,Raonic M.,14,4,14,4
Australian Open,2016-01-25,Grand Slam,Hard,4th Round,Isner J.,Ferrer D.,Ferrer D.,11,8,8,11
Australian Open,2016-01-25,Grand Slam,Hard,4th Round,Murray A.,Tomic B.,Murray A.,2,17,2,17
Australian Open,2016-01-26,Grand Slam,Hard,Quarterfinals,Berdych T.,Federer R.,Federer R.,6,3,3,6
Australian Open,2016-01-26,Grand Slam,Hard,Quarterfinals,Djokovic N.,Nishikori K.,Djokovic N.,1,7,1,7
Australian Open,2016-01-27,Grand Slam,Hard,Quarterfinals,Ferrer D.,Murray A.,Murray A.,8,2,2,8
Australian Open,2016-01-27,Grand Slam,Hard,Quarterfinals,Raonic M.,Monfils G.,Raonic M.,14,25,14,25
Australian Open,2016-01-28,Grand Slam,Hard,Semifinals,Federer R.,Djokovic N.,Djokovic N.,3,1,1,3
Australian Open,2016-01-29,Grand Slam,Hard,Semifinals,Murray A.,Raonic M.,Murray A.,2,14,2,14
Australian Open,2016-01-31,Grand Slam,Hard,The Final,Murray A.,Djokovic N.,Djokovic N.,2,1,1,2
Garanti Koza Sofia Open,2016-02-03,ATP250,Hard,2nd Round,Rosol L.,Klizan M.,Klizan M.,46,44,44,46
Garanti Koza Sofia Open,2016-02-05,ATP250,Hard,Quarterfinals,Bautista R.,Mannarino A.,Bautista R.,18,49,18,49
Garanti Koza Sofia Open,2016-02-05,ATP250,Hard,Quarterfinals,Garcia-Lopez G.,Muller G.,Muller G.,27,42,42,27
Garanti Koza Sofia Open,2016-02-05,ATP250,Hard,Quarterfinals,Troicki V.,Kohlschreiber P.,Troicki V.,25,34,25,34
Garanti Koza Sofia Open,2016-02-05,ATP250,Hard,Quarterfinals,Seppi A.,Klizan M.,Klizan M.,31,44,44,31
Garanti Koza Sofia Open,2016-02-06,ATP250,Hard,Semifinals,Bautista R.,Muller G.,Bautista R.,18,42,18,42
Garanti Koza Sofia Open,2016-02-06,ATP250,Hard,Semifinals,Klizan M.,Troicki V.,Troicki V.,44,25,25,44
Garanti Koza Sofia Open,2016-02-07,ATP250,Hard,The Final,Bautista R.,Troicki V.,Bautista R.,18,25,18,25
Argentina Open,2016-02-09,ATP250,Clay,1st Round,Ramos-Vinolas A.,Cuevas P.,Cuevas P.,46,35,35,46
Argentina Open,2016-02-09,ATP250,Clay,1st Round,Delbonis F.,Fognini F.,Delbonis F.,45,24,45,24
Argentina Open,2016-02-11,ATP250,Clay,2nd Round,Tsonga J.W.,Mayer L.,Tsonga J.W.,9,37,9,37
Argentina Open,2016-02-13,ATP250,Clay,Quarterfinals,Ferrer D.,Cuevas P.,Ferrer D.,6,35,6,35
Argentina Open,2016-02-13,ATP250,Clay,Semifinals,Nadal R.,Thiem D.,Thiem D.,5,19,19,5
